id	ref	cat2	cat3	slug
1798	FLX 0002 06	instruments-effets	crecelles-vibraslaps-flexatones	flexatone-lp-standard
1908	FOU 1048 26	instruments-effets	fouet-bois-et-baton-de-pluie	fouet-en-bois-clap-rythmes-sons-grand
1911	FOU 2071 06	instruments-effets	fouet-bois-et-baton-de-pluie	wooden-clap-fouet-a-5-lames-en-hetre
2574	GCC AF32 06	instruments-peaux	grosses-caisses	grosse-caisse-adams-sur-stand-peau-remo-81cm
2575	GCC AF3218HOU	instruments-peaux	grosses-caisses	housse-pour-grosse-caisse-de-concert-adams-fixe-81-cm-32-pouces
2576	GCC AF36 06	instruments-peaux	grosses-caisses	grosse-caisse-adams-sur-stand-peau-remo-91cm
2577	GCC AF3618HOU	instruments-peaux	grosses-caisses	housse-pour-grosse-caisse-de-concert-adams-fixe-91-cm-36-pouces
2578	GCC AS36 06	instruments-peaux	grosses-caisses	grosse-caisse-adams-suspendue-peau-remo-91cm
2579	GCC AS3618HOU	instruments-peaux	grosses-caisses	housse-pour-grosse-caisse-de-concert-adams-suspendue-91cm-36-pouces
2580	GCC AS40 06	instruments-peaux	grosses-caisses	grosse-caisse-adams-suspendue-peau-remo-101cm
2581	GCC AS40A06	instruments-peaux	grosses-caisses	grosse-caisse-adams-suspendue-peau-animale-101cm
2582	GCC AS4018HOU	instruments-peaux	grosses-caisses	housse-pour-grosse-caisse-de-concert-adams-suspendue-101cm-40-pouces
2584	LO GCCCO91	instruments-peaux	grosses-caisses	grosse-caisse-de-concert-capelle-50x91-avec-stand
2676	GOA 0911 06	metaux	gongs-tam-tams	octave-de-gongs-thailandais-oct-basse
2677	GOA 0912 06	metaux	gongs-tam-tams	octave-de-gongs-thailandais-oct-medium
2678	GOA 0913 06	metaux	gongs-tam-tams	octave-de-gongs-thailandais-oct-aigue
2682	GON 0015 06	metaux	gongs-tam-tams	gong-thailandais-14-15-cm
2683	GON 0016 06	metaux	gongs-tam-tams	gong-thailandais-16-17-cm
2685	GON 0018 06	metaux	gongs-tam-tams	gong-thailandais-18-cm
2687	GON 0020 06	metaux	gongs-tam-tams	gong-thailandais-20-21cm
2688	GON 0022 06	metaux	gongs-tam-tams	gong-thailandais-22-23-cm
2690	GON 0025 06	metaux	gongs-tam-tams	gong-thailandais-24-25-cm
2692	GON 0028 06	metaux	gongs-tam-tams	gong-thailandais-28-29cm
